,metric,sample,value,cell_type_level,cell_type,hierarchy
12,f1score,NL05,0.8371475953565507,cell_type_level_1,NK cell,final_gate_5
13,f1score,NL07,0.9165991902834009,cell_type_level_1,NK cell,final_gate_5
14,f1score,NL09,0.9060987415295256,cell_type_level_1,NK cell,final_gate_5
0,precision,NL01,0.9434306569343066,cell_type_level_1,T cell,final_gate_1
1,precision,NL03,0.9323147222618877,cell_type_level_1,T cell,final_gate_1
2,precision,NL05,0.9146059420032023,cell_type_level_1,T cell,final_gate_1
3,precision,NL07,0.9295774647887324,cell_type_level_1,T cell,final_gate_1
4,precision,NL09,0.9321793416572077,cell_type_level_1,T cell,final_gate_1
5,recall,NL01,0.927429876060013,cell_type_level_1,T cell,final_gate_1
6,recall,NL03,0.9859559045605557,cell_type_level_1,T cell,final_gate_1
7,recall,NL05,0.9902725609168833,cell_type_level_1,T cell,final_gate_1
8,recall,NL07,0.9856194690265486,cell_type_level_1,T cell,final_gate_1
9,recall,NL09,0.9838274932614556,cell_type_level_1,T cell,final_gate_1
10,f1score,NL01,0.9353618421052632,cell_type_level_1,T cell,final_gate_1
11,f1score,NL03,0.9583853211009175,cell_type_level_1,T cell,final_gate_1
12,f1score,NL05,0.9509364161849712,cell_type_level_1,T cell,final_gate_1
13,f1score,NL07,0.9567785234899329,cell_type_level_1,T cell,final_gate_1
14,f1score,NL09,0.9573073000145709,cell_type_level_1,T cell,final_gate_1
0,precision,NL01,0.9994713656387665,cell_type_level_1,T cell,final_gate_2
1,precision,NL03,0.9970849953973612,cell_type_level_1,T cell,final_gate_2
2,precision,NL05,0.9962302598064188,cell_type_level_1,T cell,final_gate_2
3,precision,NL07,0.9960740325294447,cell_type_level_1,T cell,final_gate_2
4,precision,NL09,0.9963470319634703,cell_type_level_1,T cell,final_gate_2
5,recall,NL01,0.9249836921069797,cell_type_level_1,T cell,final_gate_2
6,recall,NL03,0.981425551192993,cell_type_level_1,T cell,final_gate_2
7,recall,NL05,0.9417316767793509,cell_type_level_1,T cell,final_gate_2
8,recall,NL07,0.9823008849557522,cell_type_level_1,T cell,final_gate_2
9,recall,NL09,0.9802336028751123,cell_type_level_1,T cell,final_gate_2
10,f1score,NL01,0.9607859744219531,cell_type_level_1,T cell,final_gate_2
11,f1score,NL03,0.9891933028919329,cell_type_level_1,T cell,final_gate_2
12,f1score,NL05,0.9682146747202693,cell_type_level_1,T cell,final_gate_2
13,f1score,NL07,0.9891395154553049,cell_type_level_1,T cell,final_gate_2
14,f1score,NL09,0.9882246376811594,cell_type_level_1,T cell,final_gate_2
0,precision,NL01,0.9996467679265277,cell_type_level_1,T cell,final_gate_3
1,precision,NL03,0.9990750732233699,cell_type_level_1,T cell,final_gate_3
2,precision,NL05,0.9991796554552912,cell_type_level_1,T cell,final_gate_3
3,precision,NL07,0.9994353472614342,cell_type_level_1,T cell,final_gate_3
4,precision,NL09,1.0,cell_type_level_1,T cell,final_gate_3
5,recall,NL01,0.9230267449445532,cell_type_level_1,T cell,final_gate_3
6,recall,NL03,0.9787073391724554,cell_type_level_1,T cell,final_gate_3
7,recall,NL05,0.9384570933256284,cell_type_level_1,T cell,final_gate_3
8,recall,NL07,0.9789823008849557,cell_type_level_1,T cell,final_gate_3
9,recall,NL09,0.9754417490266547,cell_type_level_1,T cell,final_gate_3
10,f1score,NL01,0.9598100729184331,cell_type_level_1,T cell,final_gate_3
11,f1score,NL03,0.9887863300022884,cell_type_level_1,T cell,final_gate_3
12,f1score,NL05,0.96786689843556,cell_type_level_1,T cell,final_gate_3
13,f1score,NL07,0.989103101424979,cell_type_level_1,T cell,final_gate_3
14,f1score,NL09,0.9875682231655549,cell_type_level_1,T cell,final_gate_3
0,precision,NL01,0.9997753313862053,cell_type_level_1,T cell,final_gate_4
1,precision,NL03,0.9993676889029403,cell_type_level_1,T cell,final_gate_4
2,precision,NL05,0.9995638901003053,cell_type_level_1,T cell,final_gate_4
3,precision,NL07,1.0,cell_type_level_1,T cell,final_gate_4
4,precision,NL09,1.0,cell_type_level_1,T cell,final_gate_4
5,recall,NL01,0.7257012393998695,cell_type_level_1,T cell,final_gate_4
6,recall,NL03,0.9546964663243733,cell_type_level_1,T cell,final_gate_4
7,recall,NL05,0.8829817971684484,cell_type_level_1,T cell,final_gate_4
8,recall,NL07,0.9673672566371682,cell_type_level_1,T cell,final_gate_4
9,recall,NL09,0.9604672057502246,cell_type_level_1,T cell,final_gate_4
10,f1score,NL01,0.840971369176982,cell_type_level_1,T cell,final_gate_4
11,f1score,NL03,0.9765214704973741,cell_type_level_1,T cell,final_gate_4
12,f1score,NL05,0.9376630017898234,cell_type_level_1,T cell,final_gate_4
13,f1score,NL07,0.9834129884734326,cell_type_level_1,T cell,final_gate_4
14,f1score,NL09,0.9798350137488543,cell_type_level_1,T cell,final_gate_4
0,precision,NL01,0.9997753313862053,cell_type_level_1,T cell,final_gate_5
1,precision,NL03,0.9993676889029403,cell_type_level_1,T cell,final_gate_5
2,precision,NL05,0.9995638901003053,cell_type_level_1,T cell,final_gate_5
3,precision,NL07,1.0,cell_type_level_1,T cell,final_gate_5
4,precision,NL09,1.0,cell_type_level_1,T cell,final_gate_5
5,recall,NL01,0.7257012393998695,cell_type_level_1,T cell,final_gate_5
6,recall,NL03,0.9546964663243733,cell_type_level_1,T cell,final_gate_5
7,recall,NL05,0.8829817971684484,cell_type_level_1,T cell,final_gate_5
8,recall,NL07,0.9673672566371682,cell_type_level_1,T cell,final_gate_5
9,recall,NL09,0.9604672057502246,cell_type_level_1,T cell,final_gate_5
10,f1score,NL01,0.840971369176982,cell_type_level_1,T cell,final_gate_5
11,f1score,NL03,0.9765214704973741,cell_type_level_1,T cell,final_gate_5
12,f1score,NL05,0.9376630017898234,cell_type_level_1,T cell,final_gate_5
13,f1score,NL07,0.9834129884734326,cell_type_level_1,T cell,final_gate_5
14,f1score,NL09,0.9798350137488543,cell_type_level_1,T cell,final_gate_5
0,precision,NL01,0.9441624365482234,cell_type_level_2,B cell,final_gate_1
1,precision,NL03,0.9726651480637813,cell_type_level_2,B cell,final_gate_1
2,precision,NL05,0.9835820895522388,cell_type_level_2,B cell,final_gate_1
3,precision,NL07,0.9622641509433962,cell_type_level_2,B cell,final_gate_1
4,precision,NL09,0.9722222222222222,cell_type_level_2,B cell,final_gate_1
5,recall,NL01,0.8378378378378378,cell_type_level_2,B cell,final_gate_1
6,recall,NL03,0.8422090729783037,cell_type_level_2,B cell,final_gate_1
7,recall,NL05,0.7930204572803851,cell_type_level_2,B cell,final_gate_1
8,recall,NL07,0.8360655737704918,cell_type_level_2,B cell,final_gate_1
9,recall,NL09,0.6862745098039216,cell_type_level_2,B cell,final_gate_1
10,f1score,NL01,0.8878281622911695,cell_type_level_2,B cell,final_gate_1
11,f1score,NL03,0.9027484143763213,cell_type_level_2,B cell,final_gate_1
12,f1score,NL05,0.8780812791472351,cell_type_level_2,B cell,final_gate_1
13,f1score,NL07,0.8947368421052632,cell_type_level_2,B cell,final_gate_1
14,f1score,NL09,0.8045977011494253,cell_type_level_2,B cell,final_gate_1
0,precision,NL01,0.9629629629629629,cell_type_level_2,B cell,final_gate_2
1,precision,NL03,0.9815668202764977,cell_type_level_2,B cell,final_gate_2
2,precision,NL05,0.9909365558912386,cell_type_level_2,B cell,final_gate_2
3,precision,NL07,0.9622641509433962,cell_type_level_2,B cell,final_gate_2
4,precision,NL09,0.9722222222222222,cell_type_level_2,B cell,final_gate_2
5,recall,NL01,0.8198198198198198,cell_type_level_2,B cell,final_gate_2
6,recall,NL03,0.8402366863905325,cell_type_level_2,B cell,final_gate_2
7,recall,NL05,0.789410348977136,cell_type_level_2,B cell,final_gate_2
8,recall,NL07,0.8360655737704918,cell_type_level_2,B cell,final_gate_2
9,recall,NL09,0.6862745098039216,cell_type_level_2,B cell,final_gate_2
10,f1score,NL01,0.8856447688564476,cell_type_level_2,B cell,final_gate_2
11,f1score,NL03,0.9054197662061636,cell_type_level_2,B cell,final_gate_2
12,f1score,NL05,0.8787675820495646,cell_type_level_2,B cell,final_gate_2
13,f1score,NL07,0.8947368421052632,cell_type_level_2,B cell,final_gate_2
14,f1score,NL09,0.8045977011494253,cell_type_level_2,B cell,final_gate_2
0,precision,NL01,0.978494623655914,cell_type_level_2,B cell,final_gate_3
1,precision,NL03,0.9883449883449883,cell_type_level_2,B cell,final_gate_3
2,precision,NL05,0.9924357034795764,cell_type_level_2,B cell,final_gate_3
3,precision,NL07,1.0,cell_type_level_2,B cell,final_gate_3
4,precision,NL09,0.9722222222222222,cell_type_level_2,B cell,final_gate_3
5,recall,NL01,0.8198198198198198,cell_type_level_2,B cell,final_gate_3
6,recall,NL03,0.8362919132149902,cell_type_level_2,B cell,final_gate_3
7,recall,NL05,0.789410348977136,cell_type_level_2,B cell,final_gate_3
8,recall,NL07,0.8360655737704918,cell_type_level_2,B cell,final_gate_3
9,recall,NL09,0.6862745098039216,cell_type_level_2,B cell,final_gate_3
10,f1score,NL01,0.892156862745098,cell_type_level_2,B cell,final_gate_3
11,f1score,NL03,0.9059829059829059,cell_type_level_2,B cell,final_gate_3
12,f1score,NL05,0.8793565683646113,cell_type_level_2,B cell,final_gate_3
13,f1score,NL07,0.9107142857142857,cell_type_level_2,B cell,final_gate_3
14,f1score,NL09,0.8045977011494253,cell_type_level_2,B cell,final_gate_3
0,precision,NL01,0.9945054945054945,cell_type_level_2,B cell,final_gate_4
1,precision,NL03,0.9953051643192489,cell_type_level_2,B cell,final_gate_4
2,precision,NL05,0.993920972644377,cell_type_level_2,B cell,final_gate_4
3,precision,NL07,1.0,cell_type_level_2,B cell,final_gate_4
4,precision,NL09,1.0,cell_type_level_2,B cell,final_gate_4
5,recall,NL01,0.8153153153153153,cell_type_level_2,B cell,final_gate_4
6,recall,NL03,0.8362919132149902,cell_type_level_2,B cell,final_gate_4
7,recall,NL05,0.7870036101083032,cell_type_level_2,B cell,final_gate_4
8,recall,NL07,0.819672131147541,cell_type_level_2,B cell,final_gate_4
9,recall,NL09,0.6862745098039216,cell_type_level_2,B cell,final_gate_4
10,f1score,NL01,0.8960396039603961,cell_type_level_2,B cell,final_gate_4
11,f1score,NL03,0.9088960342979637,cell_type_level_2,B cell,final_gate_4
12,f1score,NL05,0.8784419073203492,cell_type_level_2,B cell,final_gate_4
13,f1score,NL07,0.9009009009009009,cell_type_level_2,B cell,final_gate_4
14,f1score,NL09,0.813953488372093,cell_type_level_2,B cell,final_gate_4
0,precision,NL01,1.0,cell_type_level_2,B cell,final_gate_5
1,precision,NL03,1.0,cell_type_level_2,B cell,final_gate_5
2,precision,NL05,0.9969465648854962,cell_type_level_2,B cell,final_gate_5
3,precision,NL07,1.0,cell_type_level_2,B cell,final_gate_5
4,precision,NL09,1.0,cell_type_level_2,B cell,final_gate_5
5,recall,NL01,0.8153153153153153,cell_type_level_2,B cell,final_gate_5
6,recall,NL03,0.8362919132149902,cell_type_level_2,B cell,final_gate_5
7,recall,NL05,0.7858002406738869,cell_type_level_2,B cell,final_gate_5
8,recall,NL07,0.819672131147541,cell_type_level_2,B cell,final_gate_5
9,recall,NL09,0.6666666666666666,cell_type_level_2,B cell,final_gate_5
10,f1score,NL01,0.8982630272952854,cell_type_level_2,B cell,final_gate_5
11,f1score,NL03,0.9108485499462944,cell_type_level_2,B cell,final_gate_5
12,f1score,NL05,0.8788694481830416,cell_type_level_2,B cell,final_gate_5
13,f1score,NL07,0.9009009009009009,cell_type_level_2,B cell,final_gate_5
14,f1score,NL09,0.8,cell_type_level_2,B cell,final_gate_5
0,precision,NL01,0.9965543644716692,cell_type_level_2,CD4+ T cell,final_gate_1
1,precision,NL03,0.9900486510393631,cell_type_level_2,CD4+ T cell,final_gate_1
2,precision,NL05,0.9903288201160542,cell_type_level_2,CD4+ T cell,final_gate_1
3,precision,NL07,0.9919177075679647,cell_type_level_2,CD4+ T cell,final_gate_1
4,precision,NL09,0.9975816203143894,cell_type_level_2,CD4+ T cell,final_gate_1
5,recall,NL01,0.9969360398314822,cell_type_level_2,CD4+ T cell,final_gate_1
6,recall,NL03,0.9931233362910381,cell_type_level_2,CD4+ T cell,final_gate_1
7,recall,NL05,0.9955806964822344,cell_type_level_2,CD4+ T cell,final_gate_1
8,recall,NL07,0.9977827050997783,cell_type_level_2,CD4+ T cell,final_gate_1
9,recall,NL09,0.995575221238938,cell_type_level_2,CD4+ T cell,final_gate_1
10,f1score,NL01,0.996745165613632,cell_type_level_2,CD4+ T cell,final_gate_1
11,f1score,NL03,0.9915836101882614,cell_type_level_2,CD4+ T cell,final_gate_1
12,f1score,NL05,0.9929478138222849,cell_type_level_2,CD4+ T cell,final_gate_1
13,f1score,NL07,0.9948415622697125,cell_type_level_2,CD4+ T cell,final_gate_1
14,f1score,NL09,0.9965774109120192,cell_type_level_2,CD4+ T cell,final_gate_1
0,precision,NL01,0.9969348659003832,cell_type_level_2,CD4+ T cell,final_gate_2
1,precision,NL03,0.9907059083868113,cell_type_level_2,CD4+ T cell,final_gate_2
2,precision,NL05,0.991374757965147,cell_type_level_2,CD4+ T cell,final_gate_2
3,precision,NL07,0.9926470588235294,cell_type_level_2,CD4+ T cell,final_gate_2
4,precision,NL09,0.9979838709677419,cell_type_level_2,CD4+ T cell,final_gate_2
5,recall,NL01,0.9965530448104175,cell_type_level_2,CD4+ T cell,final_gate_2
6,recall,NL03,0.9931233362910381,cell_type_level_2,CD4+ T cell,final_gate_2
7,recall,NL05,0.9955806964822344,cell_type_level_2,CD4+ T cell,final_gate_2
8,recall,NL07,0.9977827050997783,cell_type_level_2,CD4+ T cell,final_gate_2
9,recall,NL09,0.995575221238938,cell_type_level_2,CD4+ T cell,final_gate_2
10,f1score,NL01,0.996743918789504,cell_type_level_2,CD4+ T cell,final_gate_2
11,f1score,NL03,0.9919131494405671,cell_type_level_2,CD4+ T cell,final_gate_2
12,f1score,NL05,0.9934732757100017,cell_type_level_2,CD4+ T cell,final_gate_2
13,f1score,NL07,0.9952082565425728,cell_type_level_2,CD4+ T cell,final_gate_2
14,f1score,NL09,0.9967780910189288,cell_type_level_2,CD4+ T cell,final_gate_2
0,precision,NL01,0.9980747015787447,cell_type_level_2,CD4+ T cell,final_gate_3
1,precision,NL03,0.9982038616973506,cell_type_level_2,CD4+ T cell,final_gate_3
2,precision,NL05,0.9967988618175351,cell_type_level_2,CD4+ T cell,final_gate_3
3,precision,NL07,0.9955522609340252,cell_type_level_2,CD4+ T cell,final_gate_3
4,precision,NL09,0.9991766158913133,cell_type_level_2,CD4+ T cell,final_gate_3
5,recall,NL01,0.9927230945997702,cell_type_level_2,CD4+ T cell,final_gate_3
6,recall,NL03,0.9862466725820763,cell_type_level_2,CD4+ T cell,final_gate_3
7,recall,NL05,0.9908078486830475,cell_type_level_2,CD4+ T cell,final_gate_3
8,recall,NL07,0.9926090169992609,cell_type_level_2,CD4+ T cell,final_gate_3
9,recall,NL09,0.9762670957361222,cell_type_level_2,CD4+ T cell,final_gate_3
10,f1score,NL01,0.9953917050691243,cell_type_level_2,CD4+ T cell,final_gate_3
11,f1score,NL03,0.9921892434724392,cell_type_level_2,CD4+ T cell,final_gate_3
12,f1score,NL05,0.9937943262411347,cell_type_level_2,CD4+ T cell,final_gate_3
13,f1score,NL07,0.9940784603997039,cell_type_level_2,CD4+ T cell,final_gate_3
14,f1score,NL09,0.9875890132248221,cell_type_level_2,CD4+ T cell,final_gate_3
0,precision,NL01,0.9984538074990337,cell_type_level_2,CD4+ T cell,final_gate_4
1,precision,NL03,0.9981920903954802,cell_type_level_2,CD4+ T cell,final_gate_4
2,precision,NL05,0.9967862881628281,cell_type_level_2,CD4+ T cell,final_gate_4
3,precision,NL07,0.9985063480209111,cell_type_level_2,CD4+ T cell,final_gate_4
4,precision,NL09,0.9991725279271825,cell_type_level_2,CD4+ T cell,final_gate_4
5,recall,NL01,0.9892761394101877,cell_type_level_2,CD4+ T cell,final_gate_4
6,recall,NL03,0.9798136645962733,cell_type_level_2,CD4+ T cell,final_gate_4
7,recall,NL05,0.9869188615874138,cell_type_level_2,CD4+ T cell,final_gate_4
8,recall,NL07,0.9881744271988174,cell_type_level_2,CD4+ T cell,final_gate_4
9,recall,NL09,0.9714400643604183,cell_type_level_2,CD4+ T cell,final_gate_4
10,f1score,NL01,0.993843786071566,cell_type_level_2,CD4+ T cell,final_gate_4
11,f1score,NL03,0.9889174969215268,cell_type_level_2,CD4+ T cell,final_gate_4
12,f1score,NL05,0.9918280333984721,cell_type_level_2,CD4+ T cell,final_gate_4
13,f1score,NL07,0.9933135215453194,cell_type_level_2,CD4+ T cell,final_gate_4
14,f1score,NL09,0.9851111564348357,cell_type_level_2,CD4+ T cell,final_gate_4
0,precision,NL01,0.9984177215189873,cell_type_level_2,CD4+ T cell,final_gate_5
1,precision,NL03,0.998126024830171,cell_type_level_2,CD4+ T cell,final_gate_5
2,precision,NL05,0.9968847352024922,cell_type_level_2,CD4+ T cell,final_gate_5
3,precision,NL07,0.9984802431610942,cell_type_level_2,CD4+ T cell,final_gate_5
4,precision,NL09,0.9991683991683992,cell_type_level_2,CD4+ T cell,final_gate_5
5,recall,NL01,0.7250095748755266,cell_type_level_2,CD4+ T cell,final_gate_5
6,recall,NL03,0.9452085181898846,cell_type_level_2,CD4+ T cell,final_gate_5
7,recall,NL05,0.9616404454657946,cell_type_level_2,CD4+ T cell,final_gate_5
8,recall,NL07,0.9711751662971175,cell_type_level_2,CD4+ T cell,final_gate_5
9,recall,NL09,0.9666130329847143,cell_type_level_2,CD4+ T cell,final_gate_5
10,f1score,NL01,0.8400266252496118,cell_type_level_2,CD4+ T cell,final_gate_5
11,f1score,NL03,0.9709467927537881,cell_type_level_2,CD4+ T cell,final_gate_5
12,f1score,NL05,0.9789454741767141,cell_type_level_2,CD4+ T cell,final_gate_5
13,f1score,NL07,0.9846384413638066,cell_type_level_2,CD4+ T cell,final_gate_5
14,f1score,NL09,0.9826211408709875,cell_type_level_2,CD4+ T cell,final_gate_5
0,precision,NL01,0.928082191780822,cell_type_level_2,CD8+ T cell,final_gate_1
1,precision,NL03,0.8938977460142936,cell_type_level_2,CD8+ T cell,final_gate_1
2,precision,NL05,0.9588504245591117,cell_type_level_2,CD8+ T cell,final_gate_1
3,precision,NL07,0.9675,cell_type_level_2,CD8+ T cell,final_gate_1
4,precision,NL09,0.9374021909233177,cell_type_level_2,CD8+ T cell,final_gate_1
5,recall,NL01,0.9606522509748316,cell_type_level_2,CD8+ T cell,final_gate_1
6,recall,NL03,0.8672,cell_type_level_2,CD8+ T cell,final_gate_1
7,recall,NL05,0.8785158587672053,cell_type_level_2,CD8+ T cell,final_gate_1
8,recall,NL07,0.9063231850117096,cell_type_level_2,CD8+ T cell,final_gate_1
9,recall,NL09,0.883480825958702,cell_type_level_2,CD8+ T cell,final_gate_1
10,f1score,NL01,0.9440863960982407,cell_type_level_2,CD8+ T cell,final_gate_1
11,f1score,NL03,0.8803465078505684,cell_type_level_2,CD8+ T cell,final_gate_1
12,f1score,NL05,0.9169269206745785,cell_type_level_2,CD8+ T cell,final_gate_1
13,f1score,NL07,0.9359129383313181,cell_type_level_2,CD8+ T cell,final_gate_1
14,f1score,NL09,0.9096431283219438,cell_type_level_2,CD8+ T cell,final_gate_1
0,precision,NL01,0.9865016872890888,cell_type_level_2,CD8+ T cell,final_gate_2
1,precision,NL03,0.9956976029502151,cell_type_level_2,CD8+ T cell,final_gate_2
2,precision,NL05,0.9774334792859549,cell_type_level_2,CD8+ T cell,final_gate_2
3,precision,NL07,0.9947916666666666,cell_type_level_2,CD8+ T cell,final_gate_2
4,precision,NL09,0.9476190476190476,cell_type_level_2,CD8+ T cell,final_gate_2
5,recall,NL01,0.9326479971641262,cell_type_level_2,CD8+ T cell,final_gate_2
6,recall,NL03,0.864,cell_type_level_2,CD8+ T cell,final_gate_2
7,recall,NL05,0.8683423099940155,cell_type_level_2,CD8+ T cell,final_gate_2
8,recall,NL07,0.8946135831381733,cell_type_level_2,CD8+ T cell,final_gate_2
9,recall,NL09,0.8805309734513275,cell_type_level_2,CD8+ T cell,final_gate_2
10,f1score,NL01,0.9588192419825072,cell_type_level_2,CD8+ T cell,final_gate_2
11,f1score,NL03,0.925185608223872,cell_type_level_2,CD8+ T cell,final_gate_2
12,f1score,NL05,0.919664078592933,cell_type_level_2,CD8+ T cell,final_gate_2
13,f1score,NL07,0.9420468557336621,cell_type_level_2,CD8+ T cell,final_gate_2
14,f1score,NL09,0.9128440366972477,cell_type_level_2,CD8+ T cell,final_gate_2
0,precision,NL01,0.9866457187745483,cell_type_level_2,CD8+ T cell,final_gate_3
1,precision,NL03,0.9962756052141527,cell_type_level_2,CD8+ T cell,final_gate_3
2,precision,NL05,0.979381443298969,cell_type_level_2,CD8+ T cell,final_gate_3
3,precision,NL07,0.9947643979057592,cell_type_level_2,CD8+ T cell,final_gate_3
4,precision,NL09,0.952,cell_type_level_2,CD8+ T cell,final_gate_3
5,recall,NL01,0.8904643743353421,cell_type_level_2,CD8+ T cell,final_gate_3
6,recall,NL03,0.856,cell_type_level_2,CD8+ T cell,final_gate_3
7,recall,NL05,0.8527827648114902,cell_type_level_2,CD8+ T cell,final_gate_3
8,recall,NL07,0.8899297423887588,cell_type_level_2,CD8+ T cell,final_gate_3
9,recall,NL09,0.8775811209439528,cell_type_level_2,CD8+ T cell,final_gate_3
10,f1score,NL01,0.9360909260294391,cell_type_level_2,CD8+ T cell,final_gate_3
11,f1score,NL03,0.9208261617900172,cell_type_level_2,CD8+ T cell,final_gate_3
12,f1score,NL05,0.9117082533589251,cell_type_level_2,CD8+ T cell,final_gate_3
13,f1score,NL07,0.9394313967861558,cell_type_level_2,CD8+ T cell,final_gate_3
14,f1score,NL09,0.9132770529547198,cell_type_level_2,CD8+ T cell,final_gate_3
0,precision,NL01,0.9866404715127701,cell_type_level_2,CD8+ T cell,final_gate_4
1,precision,NL03,0.9962287869264613,cell_type_level_2,CD8+ T cell,final_gate_4
2,precision,NL05,0.979288919571971,cell_type_level_2,CD8+ T cell,final_gate_4
3,precision,NL07,0.9947643979057592,cell_type_level_2,CD8+ T cell,final_gate_4
4,precision,NL09,0.9516129032258065,cell_type_level_2,CD8+ T cell,final_gate_4
5,recall,NL01,0.8901098901098901,cell_type_level_2,CD8+ T cell,final_gate_4
6,recall,NL03,0.8453333333333334,cell_type_level_2,CD8+ T cell,final_gate_4
7,recall,NL05,0.8488928785158588,cell_type_level_2,CD8+ T cell,final_gate_4
8,recall,NL07,0.8899297423887588,cell_type_level_2,CD8+ T cell,final_gate_4
